"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Rail","EJ/yr",0.01801629,0.020419667,0.022904134,0.025803265,0.028683115,0.031166946,0.033444134,0.036189364,0.038924854,0.04162152,0.047245421,0.054142346,0.06310088,0.06610789,0.06878582,0.07191013,0.0753094
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Road|Passenger","EJ/yr",0.858882114,0.828899416,0.817432972,0.80178651,0.832001866,0.892853142,0.937888895,1.02531002,1.124908523,1.217607121,1.302116204,1.391517994,1.478117503,1.550880457,1.612372906,1.676413445,1.725071659
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Chemicals","EJ/yr",0.171120486,0.179430526,0.188021081,0.195467869,0.203111825,0.212549901,0.223234844,0.235157765,0.249678488,0.266308555,0.284036722,0.302096782,0.320138883,0.337258152,0.352069752,0.364067101,0.37023357
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Cement","EJ/yr",0.0374908,0.03927191,0.04239167,0.05005574,0.056921187,0.060143995,0.061600744,0.062279202,0.062176774,0.061611199,0.060758474,0.059854155,0.059175341,0.058538516,0.057789467,0.056935018,0.055949228
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Steel","EJ/yr",0.012461886,0.014617088,0.016923675,0.019025396,0.020786577,0.022117091,0.022931833,0.023274518,0.023232805,0.022858816,0.022207312,0.021377108,0.020436117,0.019436289,0.018436322,0.017274104,0.016204452
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Road|Freight","EJ/yr",0.996555438,1.112097257,1.246278722,1.359438116,1.490679214,1.632132034,1.790785041,1.958954325,2.141554927,2.333361845,2.518127884,2.688353874,2.853607811,3.02429557,3.18068477,3.370904122,3.51849359
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Aviation","EJ/yr",0.1224371,0.146433,0.1765354,0.213073655,0.264107954,0.314454245,0.366097214,0.416221192,0.458428386,0.498385659,0.538674876,0.578778509,0.621919302,0.664752552,0.704046594,0.750897042,0.788270896
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Maritime","EJ/yr",0.184853214,0.19484276,0.20374529,0.224767751,0.246451524,0.264931238,0.282600348,0.300212972,0.312946999,0.324636545,0.334809536,0.343628125,0.353101773,0.36203854,0.369479751,0.379996864,0.388305579
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Secondary Energy|Electricity|Oil","EJ/yr",0.00937951,0.0270781,0.0953415,0.214828,0.3577952,0.5108651,0.727036,0.970131,1.242961,1.490048,1.714297,1.875552,1.978389,1.983343,1.8432718,1.5586129,1.5840824
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Southern","Secondary Energy|Liquids|Oil","EJ/yr",0.647804,0.716594,0.890544,1.150674,1.434675,1.725572,2.138286,2.619423,3.1564139,3.6573993,4.12309734,4.5029693,4.8342352,5.07405,5.1595132,5.0953015,5.4332047
